OBJECTID,ID,Reported Date,Reported Hour,Reported Year,Occurred Date,Occurred Hour,Occurred Year,Time of Day,Weekday,Day of Week,Neighbourhood,Sector,Division,Ward,Councillor,Census Tract,Level of Injury,x,y
76,76,11/29/2018 5:00:00 AM,200,2018,11/29/2018 5:00:00 AM,2200,2018,Evening,Thursday,4,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.07,MAJOR,374173.741100003,5025882.52489946
77,77,12/23/2018 5:00:00 AM,200,2018,12/23/2018 5:00:00 AM,2200,2018,Evening,Sunday,7,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,MINOR,368047.972100003,5032233.51999946
78,78,1/5/2019 5:00:00 AM,400,2019,1/5/2019 5:00:00 AM,400,2019,Night,Saturday,6,Whitehaven - Queensway Terrace North,14,West,Ward 7 - Bay,Theresa Kavanagh,5050028.00,MINOR,360220.707700002,5023371.53939946
79,79,1/12/2019 5:00:00 AM,700,2019,1/12/2019 5:00:00 AM,700,2019,Morning,Saturday,6,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050013.00,NONE,370735.715100003,5031998.57809946
80,80,1/14/2019 5:00:00 AM,200,2019,1/14/2019 5:00:00 AM,2000,2019,Evening,Monday,1,Britannia Village,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.00,MAJOR,359555.489000001,5024438.92409946
81,81,1/15/2019 5:00:00 AM,200,2019,1/3/2019 5:00:00 AM,2300,2019,Evening,Thursday,4,Riverside Park,34,East,Ward 16 - River,Riley Brockington,5050003.00,NONE,368601.715100003,5025810.52789946
82,82,1/16/2019 5:00:00 AM,200,2019,1/12/2019 5:00:00 AM,2300,2019,Evening,Saturday,6,Vanier North,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050101.00,NONE,370163.709000003,5033320.26109946
83,83,1/16/2019 5:00:00 AM,1800,2019,1/16/2019 5:00:00 AM,1700,2019,Afternoon,Wednesday,3,Vanier North,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050101.00,MAJOR,370098.710100003,5033170.58899946
84,84,1/21/2019 5:00:00 AM,200,2019,1/21/2019 5:00:00 AM,2000,2019,Evening,Monday,1,Pineview,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050122.02,NONE,375078.734000006,5031346.56189946
85,85,1/22/2019 5:00:00 AM,200,2019,1/22/2019 5:00:00 AM,2000,2019,Evening,Tuesday,2,Vanier North,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050103.00,MAJOR,370410.709000003,5033839.59509946
86,86,1/24/2019 5:00:00 AM,200,2019,1/24/2019 5:00:00 AM,2300,2019,Evening,Thursday,4,Cityview - Skyline - Fisher Heights,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050132.00,MINOR,365267.700000003,5024908.52109946
87,87,1/31/2019 5:00:00 AM,200,2019,1/31/2019 5:00:00 AM,2000,2019,Evening,Thursday,4,Cummings,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050122.03,MAJOR,373014.728500004,5032119.54829946
88,88,2/1/2019 5:00:00 AM,1700,2019,2/1/2019 5:00:00 AM,1700,2019,Afternoon,Friday,5,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050053.00,NONE,368374.511000002,5032329.97399946
89,89,2/2/2019 5:00:00 AM,100,2019,2/2/2019 5:00:00 AM,100,2019,Night,Saturday,6,Civic Hospital-Central Park,21,Central,Ward 15 - Kitchissippi,Jeff Leiper,5050034.00,MINOR,365657.700000002,5028517.55209946
90,90,2/6/2019 5:00:00 AM,200,2019,2/6/2019 5:00:00 AM,200,2019,Night,Wednesday,3,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,13,West,Ward 4 - Kanata North,Cathy Curry,5050160.11,,350175.6181,5023443.01099946
91,91,2/12/2019 5:00:00 AM,900,2019,12/30/2018 5:00:00 AM,100,2018,Night,Sunday,7,Greenbelt - Shirleys Bay,14,West,Ward 7 - Bay,Theresa Kavanagh,5050141.14,,356001.651000001,5023937.50899946
92,92,2/20/2019 5:00:00 AM,200,2019,2/20/2019 5:00:00 AM,200,2019,Night,Wednesday,3,Elmvale - Eastway - Riverview - Riverview Park West,33,East,Ward 18 - Alta Vista,Marty Carr,5050011.04,MINOR,371326.435100005,5029883.36039946
93,93,3/16/2019 5:00:00 AM,1200,2019,3/16/2019 5:00:00 AM,1200,2019,Afternoon,Saturday,6,Orléans Village - Chateauneuf,31,East,Ward 2 - Orléans West-Innes,Laura Dudas,5050125.09,,380775.747900008,5035166.57009946
94,94,3/29/2019 5:00:00 AM,,2019,3/29/2019 5:00:00 AM,,2019,,Friday,5,Orléans Village - Chateauneuf,31,East,Ward 2 - Orléans West-Innes,Laura Dudas,5050125.08,,381556.751000009,5035446.56899946
