OBJECTID,Year,Reported Date,Occurred Date,Weekday,Offence Category,Sector,Division,Neighbourhood,Ward,Councillor,x,y
67,2019,5/14/2019 5:00:00 AM,5/13/2019 5:00:00 AM,Tuesday,Murder 1St Dgree,25    ,Central             ,Overbrook - McArthur                                                                                ,Ward 13 - Rideau-Rockcliffe,Rawlson King,370790.963000004,5032555.94899946
68,2022,9/16/2022 5:00:00 AM,9/16/2022 5:00:00 AM,Saturday,Murder 1St Dgree,25    ,Central             ,Overbrook - McArthur                                                                                ,Ward 13 - Rideau-Rockcliffe,Rawlson King,372080.734700003,5031933.45589946
69,2024,3/6/2024 5:00:00 AM,3/6/2024 5:00:00 AM,Thursday,Murder 1St Dgree,16    ,West                ,New Barrhaven - New Development - Stonebridge                                                       ,Ward 24 - Barrhaven East,Wilson Lo,365006.755900003,5015977.63589946
70,2024,3/6/2024 5:00:00 AM,3/6/2024 5:00:00 AM,Thursday,Murder 1St Dgree,16    ,West                ,New Barrhaven - New Development - Stonebridge                                                       ,Ward 24 - Barrhaven East,Wilson Lo,365006.755900003,5015977.63589946
71,2024,3/6/2024 5:00:00 AM,3/6/2024 5:00:00 AM,Thursday,Murder 1St Dgree,16    ,West                ,New Barrhaven - New Development - Stonebridge                                                       ,Ward 24 - Barrhaven East,Wilson Lo,365006.755900003,5015977.63589946
72,2024,3/6/2024 5:00:00 AM,3/6/2024 5:00:00 AM,Thursday,Murder 1St Dgree,16    ,West                ,New Barrhaven - New Development - Stonebridge                                                       ,Ward 24 - Barrhaven East,Wilson Lo,365006.755900003,5015977.63589946
73,2024,3/6/2024 5:00:00 AM,3/6/2024 5:00:00 AM,Thursday,Murder 1St Dgree,16    ,West                ,New Barrhaven - New Development - Stonebridge                                                       ,Ward 24 - Barrhaven East,Wilson Lo,365006.755900003,5015977.63589946
74,2024,3/6/2024 5:00:00 AM,3/6/2024 5:00:00 AM,Thursday,Murder 1St Dgree,16    ,West                ,New Barrhaven - New Development - Stonebridge                                                       ,Ward 24 - Barrhaven East,Wilson Lo,365006.755900003,5015977.63589946
75,2019,11/27/2019 5:00:00 AM,11/27/2019 5:00:00 AM,Thursday,Murder 1St Dgree,33    ,East                ,Hunt Club Park                                                                                      ,Ward 10 - Gloucester-Southgate,Jessica Bradley,373980.122300005,5025767.74129946
76,2022,7/16/2022 5:00:00 AM,7/15/2022 5:00:00 AM,Saturday,Murder 2Nd Dgree,24    ,Central             ,Lowertown                                                                                           ,Ward 12 - Rideau-Vanier,Stéphanie Plante,368482.704900003,5032771.58789946
77,2019,2/8/2019 5:00:00 AM,2/8/2019 5:00:00 AM,Saturday,Murder 2Nd Dgree,24    ,Central             ,Lowertown                                                                                           ,Ward 12 - Rideau-Vanier,Stéphanie Plante,368601.704900002,5032846.58899946
78,2021,7/5/2021 5:00:00 AM,7/4/2021 5:00:00 AM,Monday,Murder 1St Dgree,24    ,Central             ,Lowertown                                                                                           ,Ward 12 - Rideau-Vanier,Stéphanie Plante,368824.782200002,5032744.66089946
79,2021,8/10/2021 5:00:00 AM,8/10/2021 5:00:00 AM,Wednesday,Murder 1St Dgree,24    ,Central             ,Lowertown                                                                                           ,Ward 12 - Rideau-Vanier,Stéphanie Plante,368601.704900002,5032846.58899946
80,2021,1/12/2021 5:00:00 AM,1/12/2021 5:00:00 AM,Wednesday,Manslaughter    ,17    ,West                ,Cityview - Skyline - Fisher Heights                                                                 ,Ward 9 - Knoxdale-Merivale,Sean Devine,366417.037000002,5024945.23809946
81,2020,5/15/2020 5:00:00 AM,5/15/2020 5:00:00 AM,Saturday,Manslaughter    ,17    ,West                ,Cityview - Skyline - Fisher Heights                                                                 ,Ward 9 - Knoxdale-Merivale,Sean Devine,365103.459900001,5024007.82539946
82,2023,2/14/2023 5:00:00 AM,2/14/2023 5:00:00 AM,Wednesday,Murder 1St Dgree,33    ,East                ,Elmvale - Eastway - Riverview - Riverview Park West                                                 ,Ward 18 - Alta Vista,Marty Carr,371071.720000003,5030273.56189946
83,2021,5/28/2021 5:00:00 AM,5/28/2021 5:00:00 AM,Saturday,Murder 1St Dgree,33    ,East                ,Elmvale - Eastway - Riverview - Riverview Park West                                                 ,Ward 18 - Alta Vista,Marty Carr,370700.504100003,5030197.50849946
84,2023,5/6/2023 5:00:00 AM,5/6/2023 5:00:00 AM,Sunday,Murder 2Nd Dgree,33    ,East                ,Elmvale - Eastway - Riverview - Riverview Park West                                                 ,Ward 18 - Alta Vista,Marty Carr,371326.435100005,5029883.36039946
85,2021,5/28/2021 5:00:00 AM,5/28/2021 5:00:00 AM,Saturday,Murder 1St Dgree,33    ,East                ,Elmvale - Eastway - Riverview - Riverview Park West                                                 ,Ward 18 - Alta Vista,Marty Carr,370700.504100003,5030197.50849946
86,2024,10/28/2024 5:00:00 AM,10/28/2024 5:00:00 AM,Tuesday,Murder 1St Dgree,25    ,Central             ,Vanier North                                                                                        ,Ward 12 - Rideau-Vanier,Stéphanie Plante,369993.707100003,5033882.59589946
87,2021,5/4/2021 5:00:00 AM,5/4/2021 5:00:00 AM,Wednesday,Manslaughter    ,25    ,Central             ,Vanier North                                                                                        ,Ward 12 - Rideau-Vanier,Stéphanie Plante,370155.709000002,5033390.59099946
88,2022,1/22/2022 5:00:00 AM,1/22/2022 5:00:00 AM,Sunday,Murder 1St Dgree,25    ,Central             ,Vanier North                                                                                        ,Ward 12 - Rideau-Vanier,Stéphanie Plante,370239.157000003,5033329.47509946
89,2019,4/6/2019 5:00:00 AM,4/6/2019 5:00:00 AM,Sunday,Murder 2Nd Dgree,25    ,Central             ,Vanier North                                                                                        ,Ward 12 - Rideau-Vanier,Stéphanie Plante,370236.707900002,5033852.59589946
90,2019,2/20/2019 5:00:00 AM,2/20/2019 5:00:00 AM,Thursday,Murder 2Nd Dgree,25    ,Central             ,Vanier North                                                                                        ,Ward 12 - Rideau-Vanier,Stéphanie Plante,369874.707100004,5034030.59809946
91,2024,7/5/2024 5:00:00 AM,7/5/2024 5:00:00 AM,Saturday,Murder 1St Dgree,21    ,Central             ,Westboro                                                                                            ,Ward 15 - Kitchissippi,Jeff Leiper,364289.1009,5027671.61829946
92,2022,4/15/2022 5:00:00 AM,4/15/2022 5:00:00 AM,Saturday,Murder 2Nd Dgree,33    ,East                ,Elmvale - Eastway - Riverview - Riverview Park West                                                 ,Ward 18 - Alta Vista,Marty Carr,372565.034300005,5029295.79429946
93,2024,6/28/2024 5:00:00 AM,6/28/2024 5:00:00 AM,Saturday,Murder 2Nd Dgree,33    ,East                ,Elmvale - Eastway - Riverview - Riverview Park West                                                 ,Ward 18 - Alta Vista,Marty Carr,373001.729000006,5029506.55289946
94,2021,12/6/2021 5:00:00 AM,12/6/2021 5:00:00 AM,Tuesday,Murder 1St Dgree,15    ,West                ,Iris                                                                                                ,Ward 8 - College,Laine Johnson,361633.192900003,5023935.51399946
95,2024,6/12/2024 5:00:00 AM,12/11/2023 5:00:00 AM,Tuesday,Murder 2Nd Dgree,15    ,West                ,Iris                                                                                                ,Ward 8 - College,Laine Johnson,362479.2636,5023951.15579946
96,2018,11/23/2018 5:00:00 AM,11/23/2018 5:00:00 AM,Saturday,Murder 1St Dgree,35    ,East                ,South Keys - Heron Gate - Greenboro West                                                            ,Ward 10 - Gloucester-Southgate,Jessica Bradley,370852.239900004,5024838.49869946
97,2023,4/24/2023 5:00:00 AM,4/24/2023 5:00:00 AM,Tuesday,Murder 2Nd Dgree,35    ,East                ,South Keys - Heron Gate - Greenboro West                                                            ,Ward 10 - Gloucester-Southgate,Jessica Bradley,371617.729900002,5024577.51809946
98,2021,10/26/2021 5:00:00 AM,10/26/2021 5:00:00 AM,Wednesday,Murder 1St Dgree,14    ,West                ,Britannia Village                                                                                   ,Ward 7 - Bay,Theresa Kavanagh,360488.250000002,5025173.32929946
99,2022,9/16/2022 5:00:00 AM,9/15/2022 5:00:00 AM,Friday,Manslaughter    ,14    ,West                ,Britannia Village                                                                                   ,Ward 7 - Bay,Theresa Kavanagh,360488.250000002,5025173.32929946
100,2024,1/29/2024 5:00:00 AM,1/29/2024 5:00:00 AM,Tuesday,Murder 1St Dgree,22    ,Central             ,West Centertown                                                                                     ,Ward 15 - Kitchissippi,Jeff Leiper,366557.703000002,5028965.55589946
101,2019,11/1/2019 5:00:00 AM,10/31/2019 5:00:00 AM,Friday,Murder 2Nd Dgree,22    ,Central             ,West Centertown                                                                                     ,Ward 14 - Somerset,Ariel Troster,366808.946000004,5028985.33809946
102,2023,7/19/2023 5:00:00 AM,7/19/2023 5:00:00 AM,Thursday,Manslaughter    ,22    ,Central             ,West Centertown                                                                                     ,Ward 14 - Somerset,Ariel Troster,366717.547000003,5029970.70019946
103,2020,11/11/2020 5:00:00 AM,11/11/2020 5:00:00 AM,Thursday,Murder 1St Dgree,22    ,Central             ,West Centertown                                                                                     ,Ward 14 - Somerset,Ariel Troster,366821.703000001,5030255.56709946
104,2021,4/23/2021 5:00:00 AM,4/23/2021 5:00:00 AM,Saturday,Murder 2Nd Dgree,22    ,Central             ,West Centertown                                                                                     ,Ward 14 - Somerset,Ariel Troster,366829.944900002,5030390.60109946
105,2018,1/17/2018 5:00:00 AM,1/17/2018 5:00:00 AM,Thursday,Murder 2Nd Dgree,15    ,West                ,Bells Corners West                                                                                  ,Ward 8 - College,Laine Johnson,356864.409,5019946.87009946
106,2018,1/9/2018 5:00:00 AM,1/9/2018 5:00:00 AM,Wednesday,Murder 1St Dgree,35    ,East                ,Hunt Club East - Western Community                                                                  ,Ward 16 - River,Riley Brockington,369457.721100002,5023575.51099946
107,2024,10/24/2024 5:00:00 AM,10/24/2024 5:00:00 AM,Friday,Murder 1St Dgree,35    ,East                ,Hunt Club East - Western Community                                                                  ,Ward 16 - River,Riley Brockington,369774.721900004,5023441.50899946
108,2021,2/24/2021 5:00:00 AM,2/24/2021 5:00:00 AM,Thursday,Murder 1St Dgree,31    ,East                ,Greenbelt - Mer Bleue                                                                               ,Ward 19 - Orléans South-Navan,Catherine Kitts,377183.741100004,5032160.56189946
109,2020,10/18/2020 5:00:00 AM,10/17/2020 5:00:00 AM,Sunday,Murder 1St Dgree,31    ,East                ,Greenbelt - Mer Bleue                                                                               ,Ward 19 - Orléans South-Navan,Catherine Kitts,377183.741100004,5032160.56189946
110,2018,4/11/2018 5:00:00 AM,4/11/2018 5:00:00 AM,Thursday,Murder 1St Dgree,31    ,East                ,Greenbelt - Mer Bleue                                                                               ,Ward 19 - Orléans South-Navan,Catherine Kitts,377183.741100004,5032160.56189946
