OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,Intersection,Division,Census Tract,Time of Day,Councillor,Reported Hour,Occurred Hour,x,y
3397,2009,HYUNDAI,ELANTRA,Automobile,GRY,,Sunday,Y,Whitehaven - Queensway Terrace North,Ward 7 - Bay,Sector 14,6/7/2020 5:00:00 AM,6/7/2020 5:00:00 AM,2020,"GEORGINA DR, ROSEWOOD AVE",West,5050025.00,Night,Theresa Kavanagh,1200,300,361155.8739,5025133.518
3398,2018,,,Atv (4 Wheeler),BLU,25000,Wednesday,N,Corkery,Ward 5 - West Carleton-March,Sector 11,6/8/2020 5:00:00 AM,6/3/2020 5:00:00 AM,2020,"JOHN KENNEDY WAY, OLD ALMONTE RD",West,5050300.02,,Clarke Kelly,1500,,335856.6529,5010291.4863
3399,2020,"TOYOTA/ TOYOTA MOTOR CO., LTD.",COROLLA,Automobile,BLU,,Tuesday,Y,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 10 - Gloucester-Southgate,Sector 34,6/9/2020 5:00:00 AM,6/9/2020 5:00:00 AM,2020,"WALKLEY RD, HEATHERINGTON RD",East,5050001.09,Afternoon,Jessica Bradley,1800,1300,371766.92,5026793.5302
3400,2011,HYUNDAI,ACCENT,Automobile,SIL,,Wednesday,Y,Carson Grove - Carson Meadows,Ward 11 - Beacon Hill-Cyrville,Sector 32,6/10/2020 5:00:00 AM,6/10/2020 5:00:00 AM,2020,"ASHCROFT CRT, SUNWOOD CRES",East,5050122.03,,Tim Tierney,1400,,373405.78,5032731.3733
3401,2013,CHEVROLET,EQUINOX,Automobile,WHI,,Wednesday,Y,Tanglewood,Ward 9 - Knoxdale-Merivale,Sector 17,6/10/2020 5:00:00 AM,6/10/2020 5:00:00 AM,2020,"BROCKINGTON CRES W, MEDHURST DR W",West,5050130.02,Afternoon,Sean Devine,1500,1500,363559.8844,5021893.4914
3402,2019,"HONDA/AMERICAN HONDA MOTOR CO.,",,Automobile,WHI,,Wednesday,N,Hunt Club East - Western Community,Ward 16 - River,Sector 35,6/11/2020 5:00:00 AM,6/10/2020 5:00:00 AM,2020,"ANNAPOLIS CIRC E, COLUMBIA AVE",East,5050002.05,Evening,Riley Brockington,700,2200,370138.3074,5023562.641
3403,2006,"TOYOTA/ TOYOTA MOTOR CO., LTD.",,Automobile,GRY,4000,Thursday,Y,Centretown,Ward 14 - Somerset,Sector 23,6/11/2020 5:00:00 AM,6/11/2020 5:00:00 AM,2020,"ARGYLE AVE E, METCALFE ST",Central,5050037.02,Evening,Ariel Troster,200,2200,368442.9019,5030640.5647
3404,2018,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Suv,BRN,,Thursday,Y,Greenboro East,Ward 10 - Gloucester-Southgate,Sector 35,6/11/2020 5:00:00 AM,6/11/2020 5:00:00 AM,2020,"CORALBELL PRIV, SILVERLACE PRIV",East,5050001.06,Night,Jessica Bradley,400,300,372861.6598,5025004.6607
3405,2016,LEXUS,RX300,Suv,GRY,,Wednesday,N,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Ward 4 - Kanata North,Sector 13,6/11/2020 5:00:00 AM,6/10/2020 5:00:00 AM,2020,"PORTADOWN CRES W, SCAMPTON DR",West,5050160.12,Evening,Cathy Curry,900,2200,348426.619,5023403.9965
3406,2020,LEXUS,,Suv,SIL,45000,Thursday,Y,Bridlewood - Emerald Meadows,Ward 23 - Kanata South,Sector 13,6/11/2020 5:00:00 AM,6/11/2020 5:00:00 AM,2020,"MEADOWBREEZE DR, TISBURY PRIV",West,5050161.06,Night,Allan Hubley,800,200,355783.9986,5015035.0807
3407,2014,"TOYOTA/ TOYOTA MOTOR CO., LTD.",COROLLA,Automobile,RED,,Monday,Y,Civic Hospital-Central Park,Ward 16 - River,Sector 21,6/12/2020 5:00:00 AM,6/8/2020 5:00:00 AM,2020,"BASELINE RD, HERON RD, PRINCE OF WALES DR",Central,5050020.01,Morning,Riley Brockington,1300,1000,366873.9001,5026437.5305
3408,2009,"TOYOTA/ TOYOTA MOTOR CO., LTD.",CAMRY,Automobile,GRY,,Friday,Y,Hawthorne Meadows - Sheffield Glen,Ward 18 - Alta Vista,Sector 33,6/12/2020 5:00:00 AM,6/12/2020 5:00:00 AM,2020,"SMYTH RD, RUSSELL RD W, OTHELLO AVE",East,5050009.00,Morning,Marty Carr,800,800,373244.2316,5029371.5137
3409,2019,LEXUS,,Automobile,GRY,,Friday,N,Stittsville,Ward 6 - Stittsville,Sector 13,6/13/2020 5:00:00 AM,6/12/2020 5:00:00 AM,2020,"ALLAN MOORE PL, KIMPTON DR",West,5050151.11,Evening,Glen Gower,700,2100,348744.8614,5014744.9583
3410,2010,CHEVROLET,AVEO,Automobile,BLU,,Saturday,Y,Billings Bridge - Alta Vista,Ward 17 - Capital,Sector 34,6/13/2020 5:00:00 AM,6/13/2020 5:00:00 AM,2020,"CLEMENTINE BLVD, ROCKINGHAM AVE",East,5050004.00,Evening,Shawn Menard,1900,1900,369482.2604,5027289.1123
3411,2019,,,Other,,1200,Saturday,N,Byward Market,Ward 12 - Rideau-Vanier,Sector 24,6/14/2020 5:00:00 AM,6/13/2020 5:00:00 AM,2020,"CUMBERLAND ST, YORK ST",Central,5050054.00,Evening,Stéphanie Plante,900,2100,368262.8971,5032520.5814
3412,2008,VOLVO,,Automobile,BLK,2500,Sunday,Y,Sandy Hill - Ottawa East,Ward 12 - Rideau-Vanier,Sector 24,6/15/2020 5:00:00 AM,6/14/2020 5:00:00 AM,2020,"LEES AVE, 70M S OF CHAPEL CRES",Central,5050014.00,Morning,Stéphanie Plante,1100,700,369770.0176,5031271.0889
3413,2020,"HONDA/AMERICAN HONDA MOTOR CO.,",CIVIC (AND CRX),Automobile,GRY,,Sunday,Y,New Barrhaven - New Development - Stonebridge,Ward 3 - Barrhaven West,Sector 16,6/15/2020 5:00:00 AM,6/14/2020 5:00:00 AM,2020,CAMBRIAN RD,West,5050141.25,Evening,David Hill,1900,1800,363972.8092,5012396.1518
3414,2018,RAM TRUCKS,,Truck,BLK,,Wednesday,Y,Centretown,Ward 14 - Somerset,Sector 23,6/17/2020 5:00:00 AM,6/17/2020 5:00:00 AM,2020,"ELGIN ST, LAURIER AVE W",Central,5050048.00,Evening,Ariel Troster,200,2300,367966.8979,5031559.5737
3415,2019,FORD,,Automobile,BLK,,Thursday,Y,Navan - Carlsbad Springs,Ward 19 - Orléans South-Navan,Sector 37,6/18/2020 5:00:00 AM,6/18/2020 5:00:00 AM,2020,"SMITH RD, TENTH LINE RD",East,5050171.03,Night,Catherine Kitts,900,500,386332.9827,5030465.5132
3416,2016,LEXUS,,Suv,BLK,,Thursday,N,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 19 - Orléans South-Navan,Sector 31,6/18/2020 5:00:00 AM,6/18/2020 5:00:00 AM,2020,,East,5050171.12,Night,Catherine Kitts,800,300,384436.5609,5034490.4766
3417,,,,Other,BLK,,Wednesday,N,Ottawa South,Ward 17 - Capital,Sector 22,6/18/2020 5:00:00 AM,6/17/2020 5:00:00 AM,2020,"AYLMER AVE, CANAL WOODS TERR",Central,5050017.00,Afternoon,Shawn Menard,1200,1500,367898.9029,5028263.5451
3418,2018,LEXUS,RX300,Suv,WHI,72900,Friday,N,Orléans Central,Ward 2 - Orléans West-Innes,Sector 31,6/19/2020 5:00:00 AM,6/19/2020 5:00:00 AM,2020,"FIELDSTONE CRES E, GREY NUNS DR E",East,5050124.01,Night,Laura Dudas,800,300,379942.9281,5037186.5852
3419,2016,LEXUS,RX300,Automobile,GRY,,Friday,Y,Orléans Chapel Hill South,Ward 19 - Orléans South-Navan,Sector 31,6/19/2020 5:00:00 AM,6/19/2020 5:00:00 AM,2020,"JODI CRT, KEITH CRES",East,5050125.11,Night,Catherine Kitts,800,200,381216.2208,5032057.3192
3420,,,,Automobile,,,Saturday,Y,Hunt Club East - Western Community,Ward 16 - River,Sector 35,6/20/2020 5:00:00 AM,6/20/2020 5:00:00 AM,2020,"HUNTRIDGE PRIV,PIGEON TERR",East,5050002.02,Evening,Riley Brockington,1900,1900,370138.058,5023838.5611
3421,,,,Motorcycle,,,Saturday,N,Hawthorne Meadows - Sheffield Glen,Ward 18 - Alta Vista,Sector 33,6/20/2020 5:00:00 AM,6/20/2020 5:00:00 AM,2020,"RUSSELL RD, ST. LAURENT SERVICE RD",East,5050010.00,Night,Marty Carr,900,200,373432.3099,5029357.7039
3422,,DODGE,,Automobile,DGR,,Saturday,N,Stittsville,Ward 6 - Stittsville,Sector 13,6/22/2020 5:00:00 AM,6/6/2020 5:00:00 AM,2020,"BRADLEY GREEN CRT, HAZELDEAN RD",West,5050151.05,Evening,Glen Gower,900,2200,350397.7884,5015585.4377
3423,,,,Other,BLU,7000,Monday,N,Overbrook - McArthur,Ward 13 - Rideau-Rockcliffe,Sector 25,6/22/2020 5:00:00 AM,6/22/2020 5:00:00 AM,2020,"ALLEN BLVD, RENE-DORE WAY",Central,5050013.00,Afternoon,Rawlson King,1400,1300,370791.1555,5032554.9443
3424,2013,"TOYOTA/ TOYOTA MOTOR CO., LTD.",CAMRY,Automobile,GRY,,Tuesday,Y,New Barrhaven - New Development - Stonebridge,Ward 24 - Barrhaven East,Sector 16,6/23/2020 5:00:00 AM,6/23/2020 5:00:00 AM,2020,"BALINROAN CRES, DUNFOREST TER N",West,5050141.22,Evening,Wilson Lo,200,2200,365024.457,5014572.8065
3425,2014,RAM TRUCKS,1500,Truck,BLK,20000,Wednesday,Y,Riverside Park,Ward 16 - River,Sector 34,6/24/2020 5:00:00 AM,6/24/2020 5:00:00 AM,2020,"RIVERSIDE DR, BROOKFIELD RD, HOG'S BACK RD",East,5050003.00,Evening,Riley Brockington,200,1800,368167.9057,5026221.5285
3426,2003,CHEVROLET,IMPALA,Automobile,BLK,,Tuesday,N,Iris,Ward 8 - College,Sector 15,6/24/2020 5:00:00 AM,6/23/2020 5:00:00 AM,2020,"HIGHGATE RD, WESTBURY RD",West,5050026.00,Morning,Laine Johnson,1100,1000,361988.8838,5023620.505
3427,2018,LEXUS,,Automobile,BLK,,Tuesday,N,Civic Hospital-Central Park,Ward 15 - Kitchissippi,Sector 21,6/24/2020 5:00:00 AM,6/23/2020 5:00:00 AM,2020,"BARRIE AVE, SHERWOOD DR",Central,5050034.00,Evening,Jeff Leiper,1100,2100,365766.2431,5028868.851
3428,2020,LEXUS,,Automobile,SIL,,Tuesday,Y,Civic Hospital-Central Park,Ward 15 - Kitchissippi,Sector 21,6/24/2020 5:00:00 AM,6/23/2020 5:00:00 AM,2020,"BAYSWATER AVE, OAKVALE AVE",Central,5050034.00,Evening,Jeff Leiper,800,2100,366155.8951,5029123.5531
3429,2008,PONTIAC,G5,Automobile,RED,,Wednesday,Y,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Ward 4 - Kanata North,Sector 13,6/24/2020 5:00:00 AM,6/24/2020 5:00:00 AM,2020,"MARCH RD, 250 N OF KLONDIKE RD",West,5050160.11,Evening,Cathy Curry,200,2200,349101.2006,5024237.4278
3430,2008,MITSUBISHI,ECLIPSE,Automobile,GRN,,Wednesday,Y,East Industrial,Ward 18 - Alta Vista,Sector 33,6/24/2020 5:00:00 AM,6/24/2020 5:00:00 AM,2020,LAGAN WAY: SHORE ST,East,5050011.01,Night,Marty Carr,0,0,372938.0514,5030711.3141
3431,2015,FORD,F150,Truck,GRY,50000,Wednesday,Y,Orléans Queenswood Heights,Ward 1 - Orléans East-Cumberland,Sector 31,6/25/2020 5:00:00 AM,6/24/2020 5:00:00 AM,2020,"DUFORD DR S, LACROIX AVE S",East,5050170.04,Evening,Matthew Luloff,900,2300,382360.9397,5037124.5723
3432,2020,,,Other,SIL,,Wednesday,Y,Overbrook - McArthur,Ward 13 - Rideau-Rockcliffe,Sector 25,6/25/2020 5:00:00 AM,6/24/2020 5:00:00 AM,2020,"QUEEN MARY ST, QUILL ST",Central,5050013.00,Evening,Rawlson King,100,2000,370735.9076,5031997.5735
3433,2006,FORD,F150,Truck,RED,,Friday,Y,Trend-Arlington,Ward 9 - Knoxdale-Merivale,Sector 15,6/25/2020 5:00:00 AM,5/1/2020 5:00:00 AM,2020,"GRADY CRES S, JANSEN RD S",West,5050135.02,Afternoon,Sean Devine,1600,1200,360199.866,5021131.4825
3434,2018,BMW,,Automobile,BLK,69288,Thursday,Y,New Barrhaven - New Development - Stonebridge,Ward 3 - Barrhaven West,Sector 16,6/26/2020 5:00:00 AM,6/25/2020 5:00:00 AM,2020,"ANJANA CIR, KINETIC WAY",West,5050141.23,Evening,David Hill,900,2000,361874.4205,5013827.2558
3435,2016,,,Trailer,BLK,,Friday,N,East Industrial,Ward 10 - Gloucester-Southgate,Sector 33,6/26/2020 5:00:00 AM,6/26/2020 5:00:00 AM,2020,"STEVENAGE DR, SWANSEA CRES E",East,5050001.08,Night,Jessica Bradley,1100,200,374904.9336,5027198.529
3436,2007,CHEVROLET,SILVERADO,Truck,WHI,60000,Friday,Y,East Industrial,Ward 18 - Alta Vista,Sector 33,6/26/2020 5:00:00 AM,6/26/2020 5:00:00 AM,2020,INDUSTRIAL AVE & OC TRANSPO GARAGE/215M E OF RUSSELL RD,East,5050011.01,Night,Marty Carr,700,100,372638.5495,5030161.0957
3437,2019,"TOYOTA/ TOYOTA MOTOR CO., LTD.",COROLLA,Automobile,BLU,,Sunday,N,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Ward 23 - Kanata South,Sector 13,6/28/2020 5:00:00 AM,6/28/2020 5:00:00 AM,2020,"FRANK NIGHBOR PL, SILVER SEVEN RD",West,5050160.15,Morning,Allan Hubley,1300,1100,350760.0065,5018218.8535
3438,,,,Other,BLKBLU,3000,Friday,N,Glebe - Dows Lake,Ward 17 - Capital,Sector 22,6/28/2020 5:00:00 AM,6/26/2020 5:00:00 AM,2020,"BANK ST, FOURTH AVE",Central,5050018.00,Evening,Shawn Menard,1200,1900,368368.2882,5029475.784
3439,2017,LEXUS,,Automobile,BLK,,Sunday,N,Orléans Village - Chateauneuf,Ward 2 - Orléans West-Innes,Sector 31,6/29/2020 5:00:00 AM,6/28/2020 5:00:00 AM,2020,"RANCHWOOD WAY, SABLEWOOD PL W",East,5050125.09,Evening,Laura Dudas,700,2000,380611.9399,5034541.5617
3440,2013,"TOYOTA/ TOYOTA MOTOR CO., LTD.",SIENNA (VAN),Van,GRY,,Friday,N,Carleton Heights - Rideauview,Ward 16 - River,Sector 17,6/29/2020 5:00:00 AM,6/19/2020 5:00:00 AM,2020,"PRINCE OF WALES DR, 187 N OF HOG'S BACK RD, CHATEAU ROYALE ENTRANCE",West,5050020.01,Afternoon,Riley Brockington,1300,1200,367286.7723,5025855.5604
3441,2019,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Suv,WHI,,Sunday,N,Hunt Club Park,Ward 10 - Gloucester-Southgate,Sector 33,6/29/2020 5:00:00 AM,6/28/2020 5:00:00 AM,2020,"CELLINI CRT E, JOHNSTON RD E",East,5050001.08,Evening,Jessica Bradley,900,1900,374469.9328,5026537.5252
3442,,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Automobile,BLK,,Sunday,N,Hunt Club Park,Ward 10 - Gloucester-Southgate,Sector 33,6/29/2020 5:00:00 AM,6/28/2020 5:00:00 AM,2020,"DOSSETTER WAY S, SWAIN AVE S",East,5050001.07,Evening,Jessica Bradley,900,2100,374412.9336,5025857.5205
3443,2009,"TOYOTA/ TOYOTA MOTOR CO., LTD.",RAV4,Automobile,GRY,,Wednesday,N,Borden Farm - Stewart Farm - Parkwood Hills - Fisher Glen,Ward 9 - Knoxdale-Merivale,Sector 17,6/29/2020 5:00:00 AM,6/24/2020 5:00:00 AM,2020,"CHESTERTON DR, WOODMOUNT CRES W",West,5050131.01,Afternoon,Sean Devine,1600,1700,365510.8942,5023873.5091
3444,2017,HYUNDAI,TUCSON,Suv,BLK,,Tuesday,Y,Orléans Chapel Hill South,Ward 19 - Orléans South-Navan,Sector 31,6/30/2020 5:00:00 AM,6/30/2020 5:00:00 AM,2020,"CHEVRON PL, FELICITY CRES, JOSHUA ST",East,5050125.11,Night,Catherine Kitts,700,300,381475.7666,5032236.9311
3445,2005,,,Other,BLU,1000,Tuesday,Y,Carson Grove - Carson Meadows,Ward 11 - Beacon Hill-Cyrville,Sector 32,6/30/2020 5:00:00 AM,6/30/2020 5:00:00 AM,2020,"ALBORO CRES E, MATHESON RD E",East,5050122.03,Morning,Tim Tierney,1000,1000,373567.9139,5033342.5781
3446,2018,LEXUS,,Suv,WHI,64000,Wednesday,N,Stittsville,Ward 6 - Stittsville,Sector 13,7/1/2020 5:00:00 AM,7/1/2020 5:00:00 AM,2020,"WEST RIDGE DR, BARRACKS WAY",West,5050151.08,Night,Glen Gower,1100,100,350633.5463,5011575.1886
3447,2019,LEXUS,,Automobile,WHI,60000,Tuesday,N,Billings Bridge - Alta Vista,Ward 18 - Alta Vista,Sector 34,7/1/2020 5:00:00 AM,6/30/2020 5:00:00 AM,2020,"BAFFIN AVE N, THESSALY CIRC N",East,5050006.00,Evening,Marty Carr,1000,2300,371129.9153,5028432.5431
3448,2010,DODGE,,Van,SIL,,Wednesday,Y,Whitehaven - Queensway Terrace North,Ward 7 - Bay,Sector 14,7/1/2020 5:00:00 AM,7/1/2020 5:00:00 AM,2020,"DUMAURIER AVE, RAMSEY CRES S",West,5050028.00,Night,Theresa Kavanagh,900,500,360124.0891,5023333.4843
3449,2018,"TOYOTA/ TOYOTA MOTOR CO., LTD.",RAV4,Suv,BLK,22000,Wednesday,Y,Orléans North West,Ward 2 - Orléans West-Innes,Sector 31,7/2/2020 5:00:00 AM,7/1/2020 5:00:00 AM,2020,"FORTUNE DR, ST. DUNSTANS PL",East,5050124.04,Evening,Laura Dudas,800,2200,379922.061,5037474.6293
3450,2018,LEXUS,RX300,Automobile,,56000,Thursday,Y,Hunt Club Woods - Quintarra - Revelstoke,Ward 16 - River,Sector 35,7/2/2020 5:00:00 AM,7/2/2020 5:00:00 AM,2020,"MARILYN AVE, RIVERSIDE DR",East,5050002.01,Night,Riley Brockington,600,500,368124.5817,5024232.0265
3451,2015,NISSAN,,Automobile,GRY,,Thursday,Y,South Keys - Heron Gate - Greenboro West,Ward 10 - Gloucester-Southgate,Sector 35,7/2/2020 5:00:00 AM,7/2/2020 5:00:00 AM,2020,"BANK ST, HUNT CLUB RD",East,5050001.04,Morning,Jessica Bradley,1200,1000,371608.9231,5024095.5107
3452,,INFINITI,G35,Automobile,GRY,,Tuesday,N,Katimavik - Hazeldean,Ward 23 - Kanata South,Sector 13,7/2/2020 5:00:00 AM,6/30/2020 5:00:00 AM,2020,"240 S OF EDGEWATER ST, TERRY FOX DR",West,5050160.05,Evening,Allan Hubley,900,1900,351959.4336,5017469.9576
3453,,,,Other,RED,,Tuesday,N,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 18 - Alta Vista,Sector 34,7/2/2020 5:00:00 AM,6/30/2020 5:00:00 AM,2020,"BAYCREST DR, CEDARWOOD DR",East,5050007.02,Morning,Marty Carr,1100,1100,371229.9182,5026788.5314
3454,2018,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Suv,BLK,,Thursday,N,Hunt Club Upper -Blossom Park - Timbermill,Ward 10 - Gloucester-Southgate,Sector 35,7/3/2020 5:00:00 AM,7/2/2020 5:00:00 AM,2020,"BRIGHAM WAY, HANK RIVERS DR S",East,5050123.03,Evening,Jessica Bradley,1100,2100,372474.1739,5024117.2586
3455,2009,NISSAN,ALTIMA,Automobile,WHI,5000,Friday,Y,Russell - Edwards,Ward 22 - Riverside South-Findlay Creek,Sector 37,7/3/2020 5:00:00 AM,7/3/2020 5:00:00 AM,2020,"SHUTTLEWORTH DR, WOOLER PL",East,5050126.09,Afternoon,Steve Desroches,1400,1400,376508.7183,5020474.2098
3456,,,,Other,WHI,,Friday,Y,Overbrook - McArthur,Ward 12 - Rideau-Vanier,Sector 25,7/4/2020 5:00:00 AM,7/3/2020 5:00:00 AM,2020,"ENFIELD AVE, STEVENS AVE",Central,5050101.00,Evening,Stéphanie Plante,1600,2200,370381.9047,5032502.5783
3457,,,,Other,BLK,1600,Friday,N,Britannia Village,Ward 7 - Bay,Sector 14,7/4/2020 5:00:00 AM,7/3/2020 5:00:00 AM,2020,"POULIN AVE, CONN ST",West,5050030.00,Afternoon,Theresa Kavanagh,1300,1500,360229.8692,5025118.518
3458,2017,LEXUS,,Automobile,GRY,,Sunday,Y,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 1 - Orléans East-Cumberland,Sector 31,7/5/2020 5:00:00 AM,7/5/2020 5:00:00 AM,2020,"ESPLANADE AVE, GARDENWAY DR",East,5050170.08,Night,Matthew Luloff,100,100,384560.9522,5036720.5572
3459,2011,"TOYOTA/ TOYOTA MOTOR CO., LTD.",,Automobile,GRY,,Sunday,Y,Lowertown,Ward 12 - Rideau-Vanier,Sector 24,7/5/2020 5:00:00 AM,7/5/2020 5:00:00 AM,2020,"NELSON ST, RIDEAU ST",Central,5050053.00,Night,Stéphanie Plante,300,300,368651.174,5032497.9464
3460,,,,Other,BLURED,,Sunday,N,East Industrial,Ward 11 - Beacon Hill-Cyrville,Sector 33,7/5/2020 5:00:00 AM,6/21/2020 5:00:00 AM,2020,"ALGOMA RD, STAR TOP RD",East,5050122.02,Afternoon,Tim Tierney,1700,1600,373929.9209,5031212.5595
3461,2015,FORD,ECONOLINE E250,Truck,WHI,,Wednesday,Y,Whitehaven - Queensway Terrace North,Ward 7 - Bay,Sector 14,7/6/2020 5:00:00 AM,6/24/2020 5:00:00 AM,2020,"DUMAURIER AVE, RAMSEY CRES N",West,5050028.00,Evening,Theresa Kavanagh,1000,1900,360219.125,5023566.3183
3462,2016,LEXUS,,Suv,GRY,,Monday,N,Ottawa South,Ward 17 - Capital,Sector 22,7/7/2020 5:00:00 AM,7/6/2020 5:00:00 AM,2020,"MAIN ST, BECKWITH RD, BOWER ST",Central,5050016.00,Afternoon,Shawn Menard,800,1700,369358.9067,5029715.5558
3463,1995,CHRYSLER/ CHRYSLER OUTBOARD CORPORATION,LHS,Automobile,DGR,,Tuesday,N,Hintonburg - Mechanicsville,Ward 15 - Kitchissippi,Sector 21,7/7/2020 5:00:00 AM,7/7/2020 5:00:00 AM,2020,"ARMSTRONG ST, HAMILTON AVE N ",Central,5050045.01,Afternoon,Jeff Leiper,200,1700,365015.8904,5029371.556
3464,2007,NISSAN,VERSA,Automobile,SIL,2200,Friday,N,Civic Hospital-Central Park,Ward 16 - River,Sector 21,7/7/2020 5:00:00 AM,7/3/2020 5:00:00 AM,2020,"FISHER AVE, 220 S OF TRENT ST",Central,5050021.00,,Riley Brockington,1900,,365874.1369,5026720.8329
3465,2017,"TOYOTA/ TOYOTA MOTOR CO., LTD.",MATRIX,Automobile,RED,,Monday,Y,Carlington,Ward 16 - River,Sector 21,7/7/2020 5:00:00 AM,7/6/2020 5:00:00 AM,2020,"CAVAN ST, LEPAGE AVE",Central,5050022.00,Evening,Riley Brockington,900,2100,364613.8904,5026524.5317
3466,,,,Motorcycle,REDBLK,,Wednesday,N,West Centertown,Ward 14 - Somerset,Sector 22,7/8/2020 5:00:00 AM,7/8/2020 5:00:00 AM,2020,"BELL ST, LOUISA ST",Central,5050042.00,Morning,Ariel Troster,1600,600,366997.8972,5029854.5589
3467,,"TOYOTA/ TOYOTA MOTOR CO., LTD.",RAV4,Automobile,GRY,,Thursday,N,South Keys - Heron Gate - Greenboro West,Ward 10 - Gloucester-Southgate,Sector 35,7/9/2020 5:00:00 AM,7/9/2020 5:00:00 AM,2020,"FONTENAY CRES, HOLMES CRES W",East,5050001.04,Night,Jessica Bradley,700,0,371600.922,5024460.5137
3468,2016,"TOYOTA/ TOYOTA MOTOR CO., LTD.",,Automobile,BLU,,Thursday,Y,Byward Market,Ward 12 - Rideau-Vanier,Sector 24,7/9/2020 5:00:00 AM,7/9/2020 5:00:00 AM,2020,"CUMBERLAND ST, GEORGE ST",Central,5050054.00,Afternoon,Stéphanie Plante,1500,1400,368325.8978,5032415.5803
3469,2009,"TOYOTA/ TOYOTA MOTOR CO., LTD.",RAV4,Suv,BLU,,Thursday,Y,Glebe - Dows Lake,Ward 17 - Capital,Sector 22,7/9/2020 5:00:00 AM,7/9/2020 5:00:00 AM,2020,"OAKLAND AVE, WILTON LANE",Central,5050018.00,Night,Shawn Menard,800,0,368410.2038,5028961.439
3470,2018,LEXUS,,Automobile,GRY,,Thursday,Y,Hunt Club Park,Ward 10 - Gloucester-Southgate,Sector 33,7/9/2020 5:00:00 AM,7/9/2020 5:00:00 AM,2020,"TAJ CRT, TAJ CRT",East,5050001.07,Night,Jessica Bradley,400,400,374577.7703,5026356.5244
3471,,,,Other,,,Tuesday,N,Orléans Chapel Hill South,Ward 19 - Orléans South-Navan,Sector 31,7/9/2020 5:00:00 AM,7/7/2020 5:00:00 AM,2020,"NAVAN RD, PAGE, CHEMIN",East,5050125.11,,Catherine Kitts,1300,,381659.9507,5032769.5448
3472,,"HONDA/AMERICAN HONDA MOTOR CO.,",CIVIC (AND CRX),Automobile,DBL,,Saturday,Y,Greenboro East,Ward 10 - Gloucester-Southgate,Sector 35,7/11/2020 5:00:00 AM,7/11/2020 5:00:00 AM,2020,"HUNTERSFIELD DR, LORRY GREENBERG DR",East,5050001.05,Evening,Jessica Bradley,200,2200,373366.9288,5025575.5205
3473,2011,VOLKSWAGEN,TIGUAN,Suv,SIL,6000,Saturday,Y,Hunt Club Upper -Blossom Park - Timbermill,Ward 10 - Gloucester-Southgate,Sector 35,7/11/2020 5:00:00 AM,7/11/2020 5:00:00 AM,2020,"APPLE HILL DR, FLINTHILL WAY",East,5050123.03,Night,Jessica Bradley,900,500,372850.284,5024214.2627
3474,2005,CHEVROLET,EQUINOX,Automobile,GRY,,Saturday,Y,Carleton Heights - Rideauview,Ward 16 - River,Sector 17,7/11/2020 5:00:00 AM,7/11/2020 5:00:00 AM,2020,"GREENBRIAR AVE, SKEENA AVE",West,5050020.02,Night,Riley Brockington,1300,100,367188.9019,5025433.5215
3475,,"TOYOTA/ TOYOTA MOTOR CO., LTD.",COROLLA,Automobile,RED,,Wednesday,Y,Bells Corners West,Ward 8 - College,Sector 15,7/13/2020 5:00:00 AM,6/17/2020 5:00:00 AM,2020,"FITZGERALD RD, ROBERTSON RD",West,5050136.02,Afternoon,Laine Johnson,1600,1600,356789.7726,5020288.3039
3476,,,,Motorcycle,,,Monday,N,Lowertown,Ward 12 - Rideau-Vanier,Sector 24,7/13/2020 5:00:00 AM,7/13/2020 5:00:00 AM,2020,"KING EDWARD AVE, RIDEAU ST",Central,5050053.00,Evening,Stéphanie Plante,200,2000,368511.8989,5032412.5803
3477,2018,KIA MOTORS CORPORATION,SORENTO,Suv,BLK,42000,Monday,Y,Ottawa East,Ward 17 - Capital,Sector 22,7/14/2020 5:00:00 AM,7/13/2020 5:00:00 AM,2020,"LEES AVE, ROSEMERE AVE",Central,5050015.00,Evening,Shawn Menard,900,1900,369183.0127,5030661.8817
3478,2008,NISSAN,SENTRA,Automobile,GRY,,Tuesday,Y,Orléans Queenswood Heights,Ward 1 - Orléans East-Cumberland,Sector 31,7/14/2020 5:00:00 AM,7/14/2020 5:00:00 AM,2020,"DES EPINETTES AVE, DUVERNAY DR, LAMOUREUX DR",East,5050170.05,Morning,Matthew Luloff,700,700,383558.9463,5036862.5632
